Model,Label,Precision,Recall,F1
HYBRID,ALL,0.214,0.611,0.312
HYBRID,Caption,0.05,0.101,0.061
HYBRID,Footnote,0.012,0.022,0.014
HYBRID,Formula,0.007,0.022,0.011
HYBRID,List-item,0.069,0.155,0.087
HYBRID,Page-footer,0.083,0.198,0.115
HYBRID,Page-header,0.096,0.197,0.127
HYBRID,Picture,0.087,0.209,0.115
HYBRID,Section-header,0.113,0.266,0.144
HYBRID,Table,0.097,0.225,0.129
HYBRID,Text,0.253,0.621,0.347
HYBRID,Title,0.008,0.021,0.011
DETR,ALL,0.112,0.182,0.134
DETR,Caption,0.015,0.018,0.016
DETR,Footnote,0.002,0.003,0.002
DETR,Formula,0.002,0.004,0.002
DETR,List-item,0.008,0.014,0.009
DETR,Page-footer,0.021,0.023,0.021
DETR,Page-header,0.006,0.008,0.006
DETR,Picture,0.048,0.079,0.056
DETR,Section-header,0.011,0.021,0.013
DETR,Table,0.067,0.099,0.076
DETR,Text,0.151,0.206,0.167
DETR,Title,0.002,0.004,0.003
FRCNN,ALL,0.543,0.598,0.562
FRCNN,Caption,0.098,0.099,0.097
FRCNN,Footnote,0.02,0.02,0.02
FRCNN,Formula,0.017,0.02,0.018
FRCNN,List-item,0.159,0.154,0.155
FRCNN,Page-footer,0.193,0.197,0.194
FRCNN,Page-header,0.194,0.196,0.195
FRCNN,Picture,0.17,0.196,0.176
FRCNN,Section-header,0.256,0.261,0.253
FRCNN,Table,0.203,0.215,0.206
FRCNN,Text,0.572,0.615,0.582
FRCNN,Title,0.019,0.02,0.019
